Position,Const,Created,Modified,Description,Name,Known For,Birth Date
607,nm0430107,2014-03-10,2014-03-10,,"Michael B. Jordan","Black Panther","9 de febrero de 1987"
608,nm0000578,2014-03-10,2014-03-10,,"Anthony Perkins","Psycho","4 de abril de 1932"
609,nm0000667,2014-03-10,2014-03-10,,"David Thewlis","Naked","20 de marzo de 1963"
610,nm0001428,2014-03-10,2014-03-10,,"Klaus Kinski","Nosferatu - Phantom der Nacht","18 de octubre de 1926"
611,nm0000532,2014-03-10,2014-03-10,,"Malcolm McDowell","A Clockwork Orange","13 de junio de 1943"
612,nm0935653,2014-03-10,2014-03-10,,"Ray Winstone","The Departed","19 de febrero de 1957"
613,nm0000901,2014-03-10,2014-03-10,,"Jean-Paul Belmondo","Pierrot le Fou","9 de abril de 1933"
614,nm0785227,2014-03-10,2014-03-10,,"Andy Serkis","War for the Planet of the Apes","20 de abril de 1964"
615,nm0000111,2014-03-10,2014-03-10,,"Matthew Broderick","The Producers","21 de marzo de 1962"
616,nm0000454,2014-03-10,2014-03-10,,"Dennis Hopper","Easy Rider","17 de mayo de 1936"
617,nm0740264,2014-03-10,2014-03-10,,"Michael Rooker","Guardians of the Galaxy","6 de abril de 1955"
618,nm0001252,2014-03-10,2014-03-10,,"Vincent Gallo","Buffalo '66","11 de abril de 1961"
619,nm0000228,2014-03-09,2014-03-09,,"Kevin Spacey","L.A. Confidential","26 de julio de 1959"
620,nm0001993,2014-03-10,2014-03-10,,"Vincent Cassel","L'ennemi public n°1","23 de noviembre de 1966"
621,nm0799777,2015-03-08,2015-03-08,,"J.K. Simmons","Whiplash","9 de enero de 1955"
622,nm0000472,2014-03-10,2014-03-10,,"Boris Karloff","The Bride of Frankenstein","23 de noviembre de 1887"
623,nm0000048,2014-03-10,2014-03-10,,"Peter Lorre","Arsenic and Old Lace","26 de junio de 1904"
624,nm0000190,2015-08-13,2015-08-13,,"Matthew McConaughey","Interstellar","4 de noviembre de 1969"
625,nm0175916,2014-03-10,2014-03-10,,"Paddy Considine","Dead Man's Shoes","5 de septiembre de 1973"
626,nm0000202,2014-03-10,2014-03-10,,"Ryan Phillippe","Gosford Park","10 de septiembre de 1974"
627,nm0913488,2014-03-10,2014-03-10,,"Kerry Washington","Scandal","31 de enero de 1977"
628,nm0005251,2014-03-10,2014-03-10,,"Carrie-Anne Moss","The Matrix","21 de agosto de 1967"
629,nm0001463,2014-03-10,2014-03-10,,"Janet Leigh","Psycho","6 de julio de 1927"
630,nm1503432,2014-03-10,2014-03-10,,"Catalina Sandino Moreno","Maria Full of Grace","19 de abril"
631,nm0608090,2014-03-10,2014-03-10,,"Samantha Morton","Minority Report","13 de mayo de 1977"
632,nm1095720,2014-03-10,2014-03-10,,"Keisha Castle-Hughes","FBI: Most Wanted","24 de marzo de 1990"
633,nm0001766,2014-03-09,2014-03-09,,"Barbara Stanwyck","Double Indemnity","16 de julio de 1907"
634,nm0000260,2014-03-10,2014-03-10,,"Joan Allen","Room","20 de agosto de 1956"
635,nm0005216,2014-03-10,2014-03-10,,"Janet McTeer","Albert Nobbs","5 de agosto de 1961"
636,nm0005244,2014-03-10,2014-03-10,,"Fernanda Montenegro","Central do Brasil","16 de octubre de 1929"
637,nm0000218,2014-03-10,2014-03-10,,"Kristin Scott Thomas","Gosford Park","24 de mayo de 1960"
638,nm0000950,2014-03-10,2014-03-10,,"Brenda Blethyn","Pride & Prejudice","20 de febrero de 1946"
639,nm0000223,2014-03-10,2014-03-10,,"Elisabeth Shue","Leaving Las Vegas","6 de octubre de 1963"
640,nm0001669,2014-03-10,2014-03-10,,"Miranda Richardson","The Crying Game","3 de marzo de 1958"
641,nm0000330,2014-03-10,2014-03-10,,"Stockard Channing","Practical Magic","13 de febrero de 1944"
642,nm0707023,2014-03-09,2014-03-09,,"Luise Rainer","The Great Ziegfeld","12 de enero de 1910"
643,nm0001521,2014-03-10,2014-03-10,,"Mary McDonnell","Battlestar Galactica","28 de abril de 1952"
644,nm0000840,2017-09-16,2017-09-16,,"Lucille Ball","I Love Lucy","6 de agosto de 1911"
645,nm0000368,2014-03-10,2014-03-10,,"Laura Dern","Jurassic Park","10 de febrero de 1967"
646,nm0172604,2014-03-10,2014-03-10,,"Pauline Collins","Shirley Valentine","3 de septiembre de 1940"
647,nm0000254,2014-03-10,2014-03-10,,"Isabelle Adjani","Possession","27 de junio de 1955"
648,nm0000429,2014-03-10,2014-03-10,,"Melanie Griffith","Working Girl","9 de agosto de 1957"
649,nm0000476,2014-03-10,2014-03-10,,"Sally Kirkland","Anna","31 de octubre de 1941"
650,nm0000737,2014-03-10,2014-03-10,,"Jane Alexander","Kramer vs. Kramer","28 de octubre de 1939"
651,nm0556850,2014-03-10,2014-03-10,,"Marsha Mason","The Goodbye Girl","3 de abril de 1942"
652,nm0383603,2014-03-10,2014-03-10,,"Freddie Highmore","Finding Neverland","14 de febrero de 1992"
653,nm0000150,2014-03-10,2014-03-10,,"Michael J. Fox","Back to the Future","9 de junio de 1961"
654,nm0000237,2014-03-09,2014-03-09,,"John Travolta","Pulp Fiction","18 de febrero de 1954"
655,nm0000334,2016-06-18,2016-06-18,,"Chow Yun-Fat","Wo hu cang long","18 de mayo de 1955"
656,nm0532235,2014-03-10,2014-03-10,,"Seth MacFarlane","Family Guy","26 de octubre de 1973"
657,nm0001472,2014-03-10,2014-03-10,,"Jet Li","The One","26 de abril de 1963"
658,nm0002144,2014-03-10,2014-03-10,,"John Houseman","The Paper Chase","22 de septiembre de 1902"
659,nm0001569,2014-03-10,2014-03-10,,"Chuck Norris","Walker, Texas Ranger","10 de marzo de 1940"
660,nm0000241,2014-03-10,2014-03-10,,"Jean-Claude Van Damme","Double Impact","18 de octubre de 1960"
661,nm0005377,2014-03-10,2014-03-10,,"Sam Rockwell","Moon","5 de noviembre de 1968"
662,nm0793766,2014-03-10,2014-03-10,,"Takashi Shimura","Shichinin no samurai","12 de marzo de 1905"
663,nm0001290,2014-03-10,2014-03-10,,"Richard E. Grant","Gosford Park","5 de mayo de 1957"
664,nm0000558,2014-03-10,2014-03-10,,"Leslie Nielsen","Airplane!","11 de febrero de 1926"
665,nm0670408,2014-03-10,2014-03-10,,"Simon Pegg","Shaun of the Dead","14 de febrero de 1970"
666,nm0000518,2014-03-10,2014-03-10,,"John Malkovich","In the Line of Fire","9 de diciembre de 1953"
667,nm0788335,2014-03-10,2014-03-10,,"Michael Shannon","Take Shelter","7 de agosto de 1974"
668,nm0000640,2014-03-10,2014-03-10,,"Martin Sheen","The Departed","3 de agosto de 1940"
669,nm0001302,2014-03-10,2014-03-10,,"Christopher Guest","This Is Spinal Tap","5 de febrero de 1948"
670,nm0000614,2014-03-10,2014-03-10,,"Alan Rickman","Die Hard","21 de febrero de 1946"
671,nm0355097,2014-03-10,2014-03-10,,"Jackie Earle Haley","Watchmen","14 de julio de 1961"
672,nm0949574,2014-03-10,2014-03-10,,"Gig Young","They Shoot Horses, Don't They?","4 de noviembre de 1913"
673,nm0000652,2014-03-10,2014-03-10,,"James Spader","The Blacklist","7 de febrero de 1960"
674,nm0051509,2014-03-10,2014-03-10,,"Eric Bana","Dirty John","9 de agosto de 1968"
675,nm0244151,2014-03-10,2014-03-10,,"Romain Duris","De battre mon coeur s'est arrêté","28 de mayo de 1974"
676,nm0001727,2014-03-10,2014-03-10,,"Robert Shaw","Jaws","9 de agosto de 1927"
677,nm0915865,2014-03-10,2014-03-10,,"Jacki Weaver","Silver Linings Playbook","25 de mayo de 1947"
678,nm0067367,2014-03-10,2014-03-10,,"Bérénice Bejo","The Artist","7 de julio de 1976"
679,nm2794962,2014-03-10,2014-03-10,,"Hailee Steinfeld","True Grit","11 de diciembre de 1996"
680,nm0000492,2016-06-18,2016-06-18,,"Jennifer Jason Leigh","The Hateful Eight","5 de febrero de 1962"
681,nm0000599,2014-03-10,2014-03-10,,"Kathleen Quinlan","Apollo 13","19 de noviembre de 1954"
682,nm0378245,2014-03-10,2014-03-10,,"Taraji P. Henson","The Curious Case of Benjamin Button","11 de septiembre de 1970"
683,nm0752407,2014-03-10,2014-03-10,,"Amy Ryan","Gone Baby Gone","3 de mayo de 1968"
684,nm0002039,2014-03-10,2014-03-10,,"Ruby Dee","American Gangster","27 de octubre de 1922"
685,nm0001049,2014-03-10,2014-03-10,,"Jill Clayburgh","Bridesmaids","30 de abril de 1944"
686,nm0056770,2014-03-10,2014-03-10,,"Adriana Barraza","Babel","5 de marzo de 1956"
687,nm0452860,2014-03-10,2014-03-10,,"Rinko Kikuchi","Babel","6 de enero de 1981"
688,nm0001416,2014-03-10,2014-03-10,,"Catherine Keener","Being John Malkovich","26 de marzo de 1959"
689,nm0001648,2016-06-18,2016-06-18,,"Charlotte Rampling","45 Years","5 de febrero de 1946"
690,nm0645683,2014-03-10,2014-03-10,,"Sophie Okonedo","Hotel Rwanda","11 de agosto de 1968"
691,nm0165101,2014-03-10,2014-03-10,,"Patricia Clarkson","The Station Agent","29 de diciembre de 1959"
692,nm0013037,2014-03-10,2014-03-10,,"Shohreh Aghdashloo","House of Sand and Fog","11 de mayo de 1952"
693,nm0517820,2014-03-10,2014-03-10,,"Lindsay Lohan","The Parent Trap","2 de julio de 1986"
694,nm0005502,2014-03-10,2014-03-10,,"Michelle Trachtenberg","Buffy the Vampire Slayer","11 de octubre de 1985"
695,nm0001721,2014-03-10,2014-03-10,,"Chloë Sevigny","We Are Who We Are","18 de noviembre"
696,nm0001655,2014-03-10,2014-03-10,,"Lynn Redgrave","Gods and Monsters","8 de marzo de 1943"
697,nm0341737,2014-03-10,2014-03-10,,"Rachel Griffiths","Six Feet Under","18 de diciembre de 1968"
698,nm3053338,2014-03-10,2014-03-10,,"Margot Robbie","Suicide Squad","2 de julio de 1990"
699,nm0000666,2014-03-10,2014-03-10,,"Lili Taylor","American Crime","20 de febrero de 1967"
700,nm0917848,2014-03-10,2014-03-10,,"Robin Weigert","Deadwood","7 de julio de 1969"
701,nm1128572,2014-03-10,2014-03-10,,"Lake Bell","In a World...","24 de marzo de 1979"
702,nm0001647,2014-03-10,2014-03-10,,"Claude Rains","Casablanca","10 de noviembre de 1889"
703,nm0000114,2014-03-10,2014-03-10,,"Steve Buscemi","Fargo","13 de diciembre de 1957"
704,nm0722636,2016-06-18,2016-06-18,,"John Rhys-Davies","The Lord of the Rings: The Return of the King","5 de mayo de 1944"
705,nm0004462,2014-03-10,2014-03-10,,"Jean-Louis Trintignant","Amour","11 de diciembre de 1930"
706,nm0001072,2014-03-10,2014-03-10,,"Joseph Cotten","Citizen Kane","15 de mayo de 1905"
707,nm0001608,2014-03-10,2014-03-10,,"Barry Pepper","'Saving Private Ryan': Boot Camp","4 de abril de 1970"
708,nm0002233,2014-03-10,2014-03-10,,"Erich von Stroheim","Sunset Blvd.","22 de septiembre de 1885"
709,nm0933940,2016-06-18,2016-06-18,,"Patrick Wilson","The Phantom of the Opera","3 de julio de 1973"
710,nm0000502,2014-03-10,2014-03-10,,"Christopher Lloyd","Back to the Future","22 de octubre de 1938"
711,nm0004936,2014-03-10,2014-03-10,,"Ben Foster","Hell or High Water","29 de octubre de 1980"
712,nm0566948,2014-03-10,2014-03-10,,"Joel McCrea","Sullivan's Travels","5 de noviembre de 1905"
713,nm0158856,2014-03-10,2014-03-10,,"Choi Min-sik","Oldeuboi","22 de enero de 1962"
714,nm0000191,2014-03-10,2014-03-10,,"Ewan McGregor","Moulin Rouge!","31 de marzo de 1971"
715,nm0305558,2014-03-10,2014-03-10,,"Gael García Bernal","Mozart in the Jungle","30 de noviembre de 1978"
716,nm0004486,2014-03-10,2014-03-10,,"Bruno Ganz","Der Untergang","22 de marzo de 1941"
717,nm0000276,2014-03-10,2014-03-10,,"Sean Astin","The Lord of the Rings: The Two Towers","25 de febrero de 1971"
718,nm0451234,2016-06-18,2016-06-18,,"Irrfan Khan","The Lunchbox","7 de enero de 1967"
719,nm0355910,2016-06-18,2016-06-18,,"Michael C. Hall","Dexter","1 de febrero de 1971"
720,nm0001702,2014-03-10,2014-03-10,,"Roy Scheider","Jaws","10 de noviembre de 1932"
721,nm0000729,2014-03-10,2014-03-10,,"Casey Affleck","Manchester by the Sea","12 de agosto de 1975"
722,nm0000997,2014-03-10,2014-03-10,,"Gary Busey","The Buddy Holly Story","29 de junio de 1944"
723,nm0005342,2016-06-18,2016-06-18,,"Norman Reedus","The Walking Dead","6 de enero"
724,nm0001099,2014-03-10,2014-03-10,,"Jeff Daniels","The Squid and the Whale","19 de febrero de 1955"
725,nm0001804,2014-03-10,2014-03-10,,"Stanley Tucci","Big Night","11 de noviembre de 1960"
726,nm0000662,2014-03-10,2014-03-10,,"Kiefer Sutherland","24","21 de diciembre de 1966"
727,nm0000706,2015-03-08,2015-03-08,,"Michelle Yeoh","Everything Everywhere All at Once","6 de agosto de 1962"
728,nm2244205,2014-03-10,2014-03-10,,"Léa Seydoux","La vie d'Adèle","1 de julio de 1985"
729,nm0424848,2015-03-08,2015-03-08,,"Dakota Johnson","Fifty Shades of Grey","4 de octubre de 1989"
730,nm0000365,2014-03-10,2014-03-10,,"Julie Delpy","Trois couleurs : Blanc","21 de diciembre de 1969"
731,nm0000157,2014-03-10,2014-03-10,,"Linda Hamilton","Terminator 2: Judgment Day","26 de septiembre de 1956"
732,nm0000402,2014-03-10,2014-03-10,,"Carrie Fisher","Star Wars","21 de octubre de 1956"
733,nm0000427,2014-03-10,2014-03-10,,"Pam Grier","Jackie Brown","26 de mayo de 1949"
734,nm0001951,2014-03-10,2014-03-10,,"Björk","Dancer in the Dark","21 de noviembre de 1965"
735,nm0115161,2014-03-10,2014-03-10,,"Emily Browning","A Series of Unfortunate Events","7 de diciembre de 1988"
736,nm0000496,2014-03-10,2014-03-10,,"Juliette Lewis","August: Osage County","21 de junio de 1973"
737,nm0000572,2014-03-10,2014-03-10,,"Sarah Jessica Parker","Sex and the City","25 de marzo de 1965"
738,nm0001453,2014-03-10,2014-03-10,,"Piper Laurie","The Hustler","22 de enero de 1932"
739,nm1415323,2014-03-10,2014-03-10,,"Miley Cyrus","Hannah Montana","23 de noviembre de 1992"
740,nm0005499,2014-03-10,2014-03-10,,"Lily Tomlin","Nashville","1 de septiembre de 1939"
741,nm0005412,2019-11-09,2019-11-09,,"Jane Seymour","Somewhere in Time","15 de febrero de 1951"
742,nm0001784,2014-03-10,2014-03-10,,"Gloria Stuart","Titanic","4 de julio de 1910"
743,nm0001735,2014-03-10,2014-03-10,,"Talia Shire","Rocky","25 de abril de 1946"
744,nm2933757,2017-09-16,2017-09-16,,"Gal Gadot","Wonder Woman","30 de abril de 1985"
745,nm0528987,2014-03-10,2014-03-10,,"Sue Lyon","Lolita","10 de julio de 1946"
746,nm0000556,2014-03-10,2014-03-10,,"Olivia Newton-John","Grease","26 de septiembre de 1948"
747,nm0000378,2014-03-10,2014-03-10,,"Minnie Driver","Circle of Friends","31 de enero de 1970"
748,nm0000414,2014-03-10,2014-03-10,,"Teri Garr","Tootsie","11 de diciembre de 1944"
749,nm0005392,2014-03-10,2014-03-10,,"Keri Russell","Mission: Impossible III","23 de marzo de 1976"
750,nm0781029,2014-03-10,2014-03-10,,"Jean Seberg","À bout de souffle","13 de noviembre de 1938"
751,nm0001631,2014-03-10,2014-03-10,,"Sarah Polley","My Life Without Me","8 de enero de 1979"
752,nm0000982,2014-03-10,2014-03-10,,"Josh Brolin","No Country for Old Men","12 de febrero de 1968"
753,nm0001358,2014-03-10,2014-03-10,,"Hal Holbrook","Into the Wild","17 de febrero de 1925"
754,nm0005023,2014-03-10,2014-03-10,,"Djimon Hounsou","Blood Diamond","24 de abril de 1964"
755,nm0000369,2014-03-10,2014-03-10,,"Matt Dillon","There's Something About Mary","18 de febrero de 1964"
756,nm0000257,2014-03-10,2014-03-10,,"Alan Alda","M*A*S*H","28 de enero de 1936"
757,nm0002006,2014-03-10,2014-03-10,,"Thomas Haden Church","Sideways","17 de junio de 1960"
758,nm0654110,2014-03-10,2014-03-10,,"Clive Owen","Closer","3 de octubre de 1964"
759,nm0913822,2014-03-10,2014-03-10,,"Ken Watanabe","The Last Samurai","21 de octubre de 1959"
760,nm4139037,2014-03-10,2014-03-10,,"Suraj Sharma","Life of Pi","21 de marzo de 1993"
761,nm0000604,2014-03-10,2014-03-10,,"John C. Reilly","Chicago","24 de mayo de 1965"
762,nm0003817,2014-03-10,2014-03-10,,"Michael Clarke Duncan","The Green Mile","10 de diciembre de 1957"
763,nm0005286,2014-03-10,2014-03-10,,"Haley Joel Osment","The Sixth Sense","10 de abril de 1988"
764,nm0001427,2014-03-10,2014-03-10,,"Greg Kinnear","As Good as It Gets","17 de junio de 1963"
765,nm0000608,2014-03-10,2014-03-10,,"Burt Reynolds","Boogie Nights","11 de febrero de 1936"
766,nm0001233,2014-03-10,2014-03-10,,"Robert Forster","Jackie Brown","13 de julio de 1941"
767,nm0005403,2014-03-10,2014-03-10,,"Jason Schwartzman","Rushmore","26 de junio de 1980"
768,nm0000513,2014-03-10,2014-03-10,,"William H. Macy","Fargo","13 de marzo de 1950"
769,nm0000090,2014-03-10,2014-03-10,,"Armin Mueller-Stahl","Eastern Promises","17 de diciembre de 1930"
770,nm0000619,2014-03-10,2014-03-10,,"Tim Roth","Rob Roy","14 de mayo de 1961"
771,nm0000342,2014-03-10,2014-03-10,,"James Cromwell","L.A. Confidential","27 de enero de 1940"
772,nm0001590,2014-03-10,2014-03-10,,"Chazz Palminteri","The Usual Suspects","15 de mayo de 1952"
773,nm0000641,2014-03-10,2014-03-10,,"Gary Sinise","Forrest Gump","17 de marzo de 1955"
774,nm0006890,2014-03-10,2014-03-10,,"Paul Scofield","A Man for All Seasons","21 de enero de 1922"
775,nm0000592,2014-03-10,2014-03-10,,"Pete Postlethwaite","The Usual Suspects","7 de febrero de 1946"
776,nm0915989,2014-03-09,2014-03-09,,"Hugo Weaving","The Lord of the Rings: The Return of the King","4 de abril de 1960"
777,nm0000586,2014-03-10,2014-03-10,,"Jada Pinkett Smith","The Matrix Revolutions","18 de septiembre de 1971"
778,nm0001575,2014-03-10,2014-03-10,,"Tatum O'Neal","Paper Moon","5 de noviembre de 1963"
779,nm0267506,2014-03-10,2014-03-10,,"Anna Faris","The House Bunny","29 de noviembre de 1976"
780,nm0567408,2014-03-09,2014-03-09,,"Hattie McDaniel","Gone with the Wind","10 de junio de 1893"
781,nm0000463,2014-03-10,2014-03-10,,"Famke Janssen","X-Men: The Last Stand","5 de noviembre de 1964"
782,nm0683253,2015-03-08,2015-03-08,,"Rosamund Pike","Gone Girl","27 de enero de 1979"
783,nm0001372,2014-03-10,2014-03-10,,"Bonnie Hunt","Jumanji","22 de septiembre de 1961"
784,nm0005182,2014-03-10,2014-03-10,,"Leslie Mann","Knocked Up","26 de marzo de 1972"
785,nm1411676,2014-03-10,2014-03-10,,"Mindy Kaling","The Office","24 de junio de 1979"
786,nm0628601,2014-03-10,2014-03-10,,"Thandiwe Newton","Crash","6 de noviembre de 1972"
787,nm0688132,2019-03-19,2019-03-19,,"Amy Poehler","Inside Out","16 de septiembre de 1971"
788,nm0001605,2014-03-10,2014-03-10,,"Amanda Peet","A Lot Like Love","11 de enero de 1972"
789,nm0005466,2014-03-10,2014-03-10,,"Julia Stiles","10 Things I Hate About You","28 de marzo de 1981"
790,nm0004742,2014-03-10,2014-03-10,,"Maria Bello","A History of Violence","18 de abril de 1967"
791,nm0578949,2014-03-10,2014-03-10,,"Eva Mendes","Hitch","5 de marzo de 1974"
792,nm1289434,2014-03-10,2014-03-10,,"Emily Blunt","Edge of Tomorrow","23 de febrero de 1983"
793,nm0126284,2014-03-10,2014-03-10,,"Rose Byrne","Spy","24 de julio de 1979"
794,nm0000171,2014-03-10,2014-03-10,,"Ashley Judd","Double Jeopardy","19 de abril de 1968"
795,nm3592338,2014-03-10,2014-03-10,,"Emilia Clarke","Game of Thrones","23 de octubre de 1986"
796,nm0000775,2014-03-10,2014-03-10,,"Christina Applegate","Don't Tell Mom the Babysitter's Dead","25 de noviembre de 1971"
797,nm0000505,2014-03-10,2014-03-10,,"Nia Long","The Best Man","30 de octubre de 1970"
798,nm0428065,2015-03-08,2015-03-08,,"Felicity Jones","Rogue One","17 de octubre de 1983"
799,nm0000495,2014-03-10,2014-03-10,,"Téa Leoni","The Family Man","25 de febrero de 1966"
800,nm1275259,2014-03-10,2014-03-10,,"Alexandra Daddario","Baywatch","16 de marzo de 1986"
801,nm0540441,2014-03-10,2014-03-10,,"Jena Malone","The Neon Demon","21 de noviembre de 1984"
802,nm0000152,2014-03-10,2014-03-10,,"Richard Gere","Chicago","31 de agosto de 1949"
803,nm0296545,2014-03-10,2014-03-10,,"Nick Frost","The World's End","28 de marzo de 1972"
804,nm0000501,2014-03-10,2014-03-10,,"Ray Liotta","GoodFellas","18 de diciembre de 1954"
805,nm0001674,2014-03-10,2014-03-10,,"Chris Rock","Top Five","7 de febrero de 1965"
806,nm0358316,2014-03-10,2014-03-10,,"Jon Hamm","Mad Men","10 de marzo de 1971"
807,nm0000439,2014-03-10,2014-03-10,,"Neil Patrick Harris","A Series of Unfortunate Events","15 de junio de 1973"
808,nm0000221,2014-03-10,2014-03-10,,"Charlie Sheen","Two and a Half Men","3 de septiembre de 1965"
809,nm0753314,2016-06-18,2016-06-18,,"Mark Rylance","Bridge of Spies","18 de enero de 1960"
810,nm0000412,2014-03-10,2014-03-10,,"Andy Garcia","Ocean's Eleven","12 de abril de 1956"
811,nm0503627,2014-03-10,2014-03-10,,"Michael Lerner","Barton Fink","22 de junio de 1941"
812,nm0001295,2014-03-10,2014-03-10,,"Graham Greene","The Green Mile","22 de junio de 1952"
813,nm0001117,2014-03-10,2014-03-10,,"Bruce Davison","X-Men","28 de junio de 1946"
814,nm0000101,2014-03-10,2014-03-10,,"Dan Aykroyd","Ghostbusters","1 de julio de 1952"
815,nm0000732,2014-03-10,2014-03-10,,"Danny Aiello","Do the Right Thing","20 de junio de 1933"
816,nm0000203,2014-03-10,2014-03-10,,"River Phoenix","My Own Private Idaho","23 de agosto de 1970"
817,nm0001777,2014-03-10,2014-03-10,,"Dean Stockwell","Quantum Leap","5 de marzo de 1936"
818,nm0000345,2014-03-10,2014-03-10,,"Billy Crystal","Forget Paris","14 de marzo de 1948"
819,nm0000422,2014-03-10,2014-03-10,,"John Goodman","10 Cloverfield Lane","20 de junio de 1952"
820,nm0089217,2014-03-10,2014-03-10,,"Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","13 de enero de 1977"
821,nm0001745,2014-03-10,2014-03-10,,"Stellan Skarsgård","Good Will Hunting","13 de junio"
822,nm0002907,2016-06-18,2016-06-18,,"Alexander Skarsgård","The Legend of Tarzan","25 de agosto de 1976"
823,nm0000196,2014-03-10,2014-03-10,,"Mike Myers","Austin Powers in Goldmember","25 de mayo de 1963"
824,nm0879085,2014-03-10,2014-03-10,,"Tyrese Gibson","Baby Boy","30 de diciembre de 1978"
825,nm0000704,2014-03-10,2014-03-10,,"Elijah Wood","The Lord of the Rings: The Fellowship of the Ring","28 de enero de 1981"
826,nm0000362,2014-03-10,2014-03-10,,"Danny DeVito","Matilda","17 de noviembre de 1944"
827,nm0001333,2014-03-09,2014-03-09,,"Susan Hayward","I Want to Live!","30 de junio de 1917"
828,nm0735442,2014-03-10,2014-03-10,,"Michelle Rodriguez","Fast & Furious 7","12 de julio de 1978"
829,nm0001264,2014-03-10,2014-03-10,,"Sarah Michelle Gellar","Buffy the Vampire Slayer","14 de abril de 1977"
830,nm0644897,2019-03-19,2019-03-19,,"Sandra Oh","Killing Eve","20 de julio de 1971"
831,nm0452288,2019-09-04,2019-09-04,,"Margot Kidder","Superman","17 de octubre de 1948"
832,nm0461498,2014-03-10,2014-03-10,,"Beyoncé","Dreamgirls","4 de septiembre de 1981"
833,nm0356017,2014-03-10,2014-03-10,,"Rebecca Hall","Vicky Cristina Barcelona","3 de mayo de 1982"
834,nm0005305,2014-03-10,2014-03-10,,"Piper Perabo","Coyote Ugly","31 de octubre de 1976"
835,nm0001073,2014-03-10,2014-03-10,,"Courteney Cox","Friends","15 de junio de 1964"
836,nm0000205,2014-03-10,2014-03-10,,"Parker Posey","Scream 3","8 de noviembre de 1968"
837,nm1745736,2014-03-10,2014-03-10,,"Paula Patton","Precious","5 de diciembre de 1975"
838,nm1157358,2014-03-10,2014-03-10,,"Michelle Monaghan","Gone Baby Gone","23 de marzo de 1976"
839,nm0000132,2014-03-10,2014-03-10,,"Claire Danes","My So-Called Life","12 de abril de 1979"
840,nm0005049,2019-03-19,2019-03-19,,"Allison Janney","The Help","19 de noviembre de 1959"
841,nm0098378,2014-03-10,2014-03-10,,"Kate Bosworth","Superman Returns","2 de enero de 1983"
842,nm0939697,2014-03-10,2014-03-10,,"Evan Rachel Wood","Thirteen","7 de septiembre de 1987"
843,nm0000227,2015-03-08,2015-03-08,,"Mira Sorvino","Mighty Aphrodite","28 de septiembre de 1967"
844,nm0955471,2014-03-10,2014-03-10,,"Ziyi Zhang","Yi dai zong shi","9 de febrero de 1979"
845,nm0004789,2014-03-10,2014-03-10,,"Amanda Bynes","Hairspray","3 de abril de 1986"
846,nm0001435,2014-03-10,2014-03-10,,"Lisa Kudrow","Friends","30 de julio de 1963"
847,nm1779870,2019-07-29,2019-07-29,,"Brit Marling","Another Earth","7 de agosto de 1982"
848,nm7248827,2020-08-10,2020-08-10,,"Cynthia Erivo","Wicked: Part I","8 de enero de 1987"
849,nm0005527,2015-03-08,2015-03-08,,"Sofía Vergara","Hot Pursuit","10 de julio de 1972"
850,nm0601553,2014-03-10,2014-03-10,,"Mandy Moore","A Walk to Remember","10 de abril de 1984"
851,nm0000515,2014-03-10,2014-03-10,,"Virginia Madsen","Sideways","11 de septiembre de 1961"
852,nm0005188,2014-03-10,2014-03-10,,"James Marsden","Hairspray","18 de septiembre de 1973"
853,nm0000741,2014-03-10,2014-03-10,,"Tim Allen","Toy Story","13 de junio de 1953"
854,nm0000610,2014-03-10,2014-03-10,,"Giovanni Ribisi","Boiler Room","17 de diciembre de 1974"
855,nm0000442,2016-06-18,2016-06-18,,"Rutger Hauer","Hobo with a Shotgun","23 de enero de 1944"
856,nm0000681,2014-03-10,2014-03-10,,"Vince Vaughn","The Break-Up","28 de marzo de 1970"
857,nm0004051,2014-03-10,2014-03-10,,"Brian Cox","Succession","1 de junio de 1946"
858,nm0000598,2014-03-10,2014-03-10,,"Dennis Quaid","Far from Heaven","9 de abril de 1954"
859,nm0000491,2014-03-10,2014-03-10,,"John Leguizamo","Moulin Rouge!","22 de julio de 1960"
860,nm0000474,2014-03-10,2014-03-10,,"Michael Keaton","Birdman or (The Unexpected Virtue of Ignorance)","5 de septiembre de 1951"
861,nm0121605,2014-03-10,2014-03-10,,"Billy Burke","Twilight","25 de noviembre de 1966"
862,nm0322407,2014-03-10,2014-03-10,,"Brendan Gleeson","The Guard","29 de marzo de 1955"
863,nm0000314,2019-03-18,2019-03-18,,"Charles Bronson","Death Wish","3 de noviembre de 1921"
864,nm0000596,2014-03-10,2014-03-10,,"Jonathan Pryce","The Two Popes","1 de junio de 1947"
865,nm0001497,2014-03-10,2014-03-10,,"Tobey Maguire","Brothers","27 de junio de 1975"
866,nm0790688,2014-03-10,2014-03-10,,"Michael Sheen","Masters of Sex","5 de febrero de 1969"
867,nm0519043,2014-03-10,2014-03-10,,"Justin Long","Live Free or Die Hard","2 de junio de 1978"
868,nm0085312,2014-03-10,2014-03-10,,"Jack Black","High Fidelity","28 de agosto de 1969"
869,nm0000316,2019-03-18,2019-03-18,,"Mel Brooks","Spaceballs","28 de junio de 1926"
870,nm0000112,2014-03-10,2014-03-10,,"Pierce Brosnan","Mamma Mia!","16 de mayo de 1953"
