Position,Const,Created,Modified,Description,Name,Known For,Birth Date
80,nm0001078,2018-01-31,2018-05-11,"1944. SIGUIENDO MI CAMINO DIR. LEO McCAREY 3 NOMINACIONES 1 GANADO","Bing Crosby","White Christmas","2 de mayo de 1903"
81,nm0510134,2018-01-31,2018-05-11,"1943. VIGILANCIA EN EL RHIN DIR. HERMAN SHUMLIN 1 NOMINACIÓN 1 GANADO","Paul Lukas","Watch on the Rhine","26 de mayo de 1895"
82,nm0000010,2018-01-31,2018-05-11,"1942.YANQUI DANDY DIR. MICHAEL CURTIZ 3 NOMINACIONES 1 GANADO","James Cagney","Angels with Dirty Faces","17 de julio de 1899"
83,nm0000011,2018-01-31,2018-05-11,"1941. EL SARGENTO YORK DIR. HOWARD HAWKS 5 NOMINACIONES 2 GANADO","Gary Cooper","High Noon","7 de mayo de 1901"
84,nm0000071,2018-01-31,2018-05-11,"1940. HISTORIAS DE FILADELFIA DIR. GEORGE CUKOR 5 NOMINACIONES 1 GANADO","James Stewart","Vertigo","20 de mayo de 1908"
85,nm0232196,2018-01-31,2018-05-11,"1939. ADIÓS, SR. CHIPS DIR. SAM WOOD 2 NOMINACIONES 1 GANADO","Robert Donat","The 39 Steps","18 de marzo de 1905"
86,nm0000075,2018-01-31,2018-05-11,"1938. FORJA DE HOMBRES DIR. NORMAN TAUROG 9 NOMINACIONES 2 GANADO","Spencer Tracy","Guess Who's Coming to Dinner","5 de abril de 1900"
87,nm0000075,2018-01-31,2018-05-11,"1937. CAPITANES INTRÉPIDOS DIR. VICTOR FLEMING 9 NOMINACIONES 2 GANADO","Spencer Tracy","Guess Who's Coming to Dinner","5 de abril de 1900"
88,nm0612847,2018-01-31,2018-05-11,"1936. LA GRAN TRAGEDIA DE LOUIS PASTEUR DIR. WILLIAM DIETERLE 6 NOMINACIONES 1 GANADO","Paul Muni","Scarface","22 de septiembre de 1895"
89,nm0572142,2018-01-31,2018-05-11,"1935. EL DELATOR DIR. JOHN FORD 2 NOMINACIONES 1 GANADO","Victor McLaglen","The Quiet Man","10 de diciembre de 1886"
90,nm0000022,2018-01-31,2018-05-11,"1934. SUCEDIÓ UNA NOCHE DIR. FRANK CAPRA 3 NOMINACIONES 1 GANADO","Clark Gable","It Happened One Night","1 de febrero de 1901"
91,nm0001452,2018-01-31,2018-05-11,"1933. LA VIDA PRIVADA DE ENRIQUE VIII DIR. ALEXANDER KORDA 3 NOMINACIONES 1 GANADO","Charles Laughton","Witness for the Prosecution","1 de julio de 1899"
92,nm0545298,2018-01-31,2018-05-11,"1932. EL HOMBRE Y EL MONSTRUO DIR. ROUBEN MAMOULIAN 5 NOMINACIONES 2 GANADO","Fredric March","The Best Years of Our Lives","31 de agosto de 1897"
93,nm0000891,2018-01-31,2018-05-11,"1932. EL CAMPEÓN DIR. KING VIDOR 2 NOMINACIONES 1 GANADO","Wallace Beery","Grand Hotel","1 de abril de 1885"
94,nm0000859,2018-01-31,2018-05-11,"1931. UN ALMA LIBRE DIR. CLARENCE BROWN 1 NOMINACIÓN 1 GANADO","Lionel Barrymore","You Can't Take It with You","28 de abril de 1878"
95,nm0002183,2018-01-31,2018-05-11,"1930. DISRAELI DIR. ALFRED E. GREEN 2 NOMINACIONES 1 GANADO","George Arliss","Disraeli","10 de abril de 1868"
96,nm0062828,2018-01-31,2018-05-11,"1929. EN EL VIEJO ARIZONA DIR. IRVING CUMMINGS 1 NOMINACIÓN 1 GANADO","Warner Baxter","Penthouse","29 de marzo de 1889"
97,nm0417837,2018-01-31,2018-05-11,"1928. EL DESTINO DE LA CARNE DIR. VICTOR FLEMING 1928. LA ÚLTIMA ORDEN DIR. JOSEF VON STERNBERG 2 NOMINACIONES 2 GANADO","Emil Jannings","Faust: Eine deutsche Volkssage","23 de julio de 1884"
