Year,Actor,Role(s),Film,Age,Nationality
"2012 
",Daniel Day-Lewis ,Abraham Lincoln,Lincoln,55,British
"2013 
",Matthew McConaughey ,Ron Woodroof,Dallas Buyers Club,54,American
"2014 
",Eddie Redmayne ,Stephen Hawking,The Theory of Everything,32,British
"2015 
",Leonardo DiCaprio ,Hugh Glass,The Revenant,41,American
"2016 
",Casey Affleck ,Lee Chandler,Manchester by the Sea,41,American
"2017 
",Gary Oldman ,Winston Churchill,Darkest Hour,59,British
"2018 
",Rami Malek ,Freddie Mercury,Bohemian Rhapsody,37,American
"2019 
",Joaquin Phoenix ,Arthur Fleck / Joker,Joker,45,American
"2020/21

",Anthony Hopkins ,Anthony,The Father,83,British
"2021
",Will Smith ,Richard Williams,King Richard,53,American
"2022
",Brendan Fraser ,Charlie,The Whale,54,Canadian
"2023
",Cillian Murphy ,J. Robert Oppenheimer,Oppenheimer,47,Irish
