year_film,year_ceremony,category,name,film,winner,Taquilla,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris
1941,1942,ACTOR,Walter Huston,All That Money Can Buy,False,,,,,
1941,1942,ACTOR,Robert Montgomery,Here Comes Mr. Jordan,False,,,,,
1941,1942,ACTOR,Orson Welles,Citizen Kane,False,,,,,
1942,1943,ACTOR,James Cagney,Yankee Doodle Dandy,True,,1942.0,42.0,Blanca,Hungría
1942,1943,ACTOR,Ronald Colman,Random Harvest,False,,1947.0,52.0,Blanca,Estados Unidos
1942,1943,ACTOR,Gary Cooper,The Pride of the Yankees,False,,1941.0,41.0,Blanca,Estados Unidos
1942,1943,ACTOR,Gary Cooper,The Pride of the Yankees,False,,1952.0,53.0,Blanca,Estados Unidos
1942,1943,ACTOR,Walter Pidgeon,Mrs. Miniver,False,,,,,
1942,1943,ACTOR,Monty Woolley,The Pied Piper,False,,,,,
1943,1944,ACTOR,Humphrey Bogart,Casablanca,False,,1951.0,54.0,Blanca,Estados Unidos
1943,1944,ACTOR,Gary Cooper,For Whom the Bell Tolls,False,,1941.0,41.0,Blanca,Estados Unidos
1943,1944,ACTOR,Gary Cooper,For Whom the Bell Tolls,False,,1952.0,53.0,Blanca,Estados Unidos
1943,1944,ACTOR,Paul Lukas,Watch on the Rhine,True,,1943.0,50.0,Blanca,Estados Unidos
1943,1944,ACTOR,Walter Pidgeon,Madame Curie,False,,,,,
1943,1944,ACTOR,Mickey Rooney,The Human Comedy,False,,,,,
1944,1945,ACTOR,Charles Boyer,Gaslight,False,,,,,
1944,1945,ACTOR,Bing Crosby,Going My Way,True,,1944.0,41.0,Blanca,Reino Unido
1944,1945,ACTOR,Barry Fitzgerald,Going My Way,False,,,,,
1944,1945,ACTOR,Cary Grant,None but the Lonely Heart,False,,,,,
1944,1945,ACTOR,Alexander Knox,Wilson,False,,,,,
1945,1946,ACTOR,Bing Crosby,The Bells of St. Mary's,False,,1944.0,41.0,Blanca,Reino Unido
1945,1946,ACTOR,Gene Kelly,Anchors Aweigh,False,,,,,
1945,1946,ACTOR,Ray Milland,The Lost Weekend,True,,1945.0,38.0,Blanca,Estados Unidos
1945,1946,ACTOR,Gregory Peck,The Keys of the Kingdom,False,,1961.0,46.0,Blanca,Estados Unidos
1945,1946,ACTOR,Cornel Wilde,A Song to Remember,False,,,,,
