name,edad,raza,nacionalidad,winner,film,year_ceremony
Jack Nicholson,38.0,Blanca,Estados Unidos,False,About Schmidt,2003
Johnny Depp,,,,False,Pirates of the Caribbean: The Curse of the Black Pearl,2004
Ben Kingsley,45.0,Blanca,Estados Unidos,False,House of Sand and Fog,2004
Jude Law,,,,False,Cold Mountain,2004
Bill Murray,,,,False,Lost in Translation,2004
Sean Penn,37.0,Blanca,Francia,True,Mystic River,2004
Sean Penn,39.0,Blanca,Reino Unido,True,Mystic River,2004
Don Cheadle,,,,False,Hotel Rwanda,2005
Johnny Depp,,,,False,Finding Neverland,2005
Leonardo DiCaprio,44.0,Blanca,Reino Unido,False,The Aviator,2005
Clint Eastwood,,,,False,Million Dollar Baby,2005
Jamie Foxx,46.0,Blanca,Reino Unido,True,Ray,2005
Philip Seymour Hoffman,37.0,Blanca,Estados Unidos,True,Capote,2006
Terrence Howard,,,,False,Hustle & Flow,2006
Heath Ledger,,,,False,Brokeback Mountain,2006
Joaquin Phoenix,44.0,Blanca,,False,Walk the Line,2006
David Strathairn,,,,False,"Good Night, and Good Luck.",2006
Leonardo DiCaprio,44.0,Blanca,Reino Unido,False,Blood Diamond,2007
Ryan Gosling,,,,False,Half Nelson,2007
Peter O'Toole,,,,False,Venus,2007
Will Smith,45.0,Afroamericano,Estados Unidos,False,The Pursuit of Happyness,2007
Forest Whitaker,45.0,Blanca,Estados Unidos,True,The Last King of Scotland,2007
George Clooney,,,,False,Michael Clayton,2008
Daniel Day-Lewis,51.0,Blanca,Reino Unido,True,There Will Be Blood,2008
Daniel Day-Lewis,47.0,Blanca,Estados Unidos,True,There Will Be Blood,2008
Daniel Day-Lewis,50.0,Afroamericana,Estados Unidos,True,There Will Be Blood,2008
Johnny Depp,,,,False,Sweeney Todd The Demon Barber of Fleet Street,2008
Tommy Lee Jones,,,,False,In the Valley of Elah,2008
Viggo Mortensen,,,,False,Eastern Promises,2008
Richard Jenkins,,,,False,The Visitor,2009
Frank Langella,,,,False,Frost/Nixon,2009
Sean Penn,37.0,Blanca,Francia,True,Milk,2009
Sean Penn,39.0,Blanca,Reino Unido,True,Milk,2009
Brad Pitt,,,,False,The Curious Case of Benjamin Button,2009
Mickey Rourke,,,,False,The Wrestler,2009
Jeff Bridges,41.0,Blanca,Reino Unido,True,Crazy Heart,2010
George Clooney,,,,False,Up in the Air,2010
Colin Firth,36.0,Blanca,Estados Unidos,False,A Single Man,2010
Morgan Freeman,,,,False,Invictus,2010
Jeremy Renner,,,,False,The Hurt Locker,2010
Javier Bardem,,,,False,Biutiful,2011
Jeff Bridges,41.0,Blanca,Reino Unido,False,True Grit,2011
Jesse Eisenberg,,,,False,The Social Network,2011
Colin Firth,36.0,Blanca,Estados Unidos,True,The King's Speech,2011
James Franco,,,,False,127 Hours,2011
Demián Bichir,,,,False,A Better Life,2012
George Clooney,,,,False,The Descendants,2012
Jean Dujardin,62.0,Blanca,Estados Unidos,True,The Artist,2012
Gary Oldman,33.0,Blanca,Irlanda,False,Tinker Tailor Soldier Spy,2012
Brad Pitt,,,,False,Moneyball,2012
Bradley Cooper,,,,False,Silver Linings Playbook,2013
Daniel Day-Lewis,51.0,Blanca,Reino Unido,True,Lincoln,2013
Daniel Day-Lewis,47.0,Blanca,Estados Unidos,True,Lincoln,2013
Daniel Day-Lewis,50.0,Afroamericana,Estados Unidos,True,Lincoln,2013
Hugh Jackman,,,,False,Les Misérables,2013
Joaquin Phoenix,44.0,Blanca,,False,The Master,2013
Denzel Washington,30.0,Blanca,Estados Unidos,False,Flight,2013
Christian Bale,,,,False,American Hustle,2014
Bruce Dern,,,,False,Nebraska,2014
Leonardo DiCaprio,44.0,Blanca,Reino Unido,False,The Wolf of Wall Street,2014
Chiwetel Ejiofor,,,,False,12 Years a Slave,2014
Matthew McConaughey,43.0,Blanca,Estados Unidos,True,Dallas Buyers Club,2014
Steve Carell,,,,False,Foxcatcher,2015
Bradley Cooper,,,,False,American Sniper,2015
Benedict Cumberbatch,,,,False,The Imitation Game,2015
Michael Keaton,,,,False,Birdman or (The Unexpected Virtue of Ignorance),2015
Eddie Redmayne,55.0,Blanca,Estados Unidos,True,The Theory of Everything,2015
Bryan Cranston,,,,False,Trumbo,2016
Matt Damon,,,,False,The Martian,2016
Leonardo DiCaprio,44.0,Blanca,Reino Unido,True,The Revenant,2016
Michael Fassbender,,,,False,Steve Jobs,2016
Eddie Redmayne,55.0,Blanca,Estados Unidos,False,The Danish Girl,2016
Casey Affleck,41.0,Blanca,Irlanda,True,Manchester by the Sea,2017
Andrew Garfield,,,,False,Hacksaw Ridge,2017
Ryan Gosling,,,,False,La La Land,2017
Viggo Mortensen,,,,False,Captain Fantastic,2017
Denzel Washington,30.0,Blanca,Estados Unidos,False,Fences,2017
Timothée Chalamet,,,,False,Call Me by Your Name,2018
Daniel Day-Lewis,51.0,Blanca,Reino Unido,False,Phantom Thread,2018
Daniel Day-Lewis,47.0,Blanca,Estados Unidos,False,Phantom Thread,2018
Daniel Day-Lewis,50.0,Afroamericana,Estados Unidos,False,Phantom Thread,2018
Daniel Kaluuya,,,,False,Get Out,2018
Gary Oldman,33.0,Blanca,Irlanda,True,Darkest Hour,2018
Denzel Washington,30.0,Blanca,Estados Unidos,False,"Roman J. Israel, Esq.",2018
Christian Bale,,,,False,Vice,2019
Bradley Cooper,,,,False,A Star Is Born,2019
Willem Dafoe,,,,False,At Eternity's Gate,2019
Rami Malek,41.0,Afroamericana,Estados Unidos,True,Bohemian Rhapsody,2019
Viggo Mortensen,,,,False,Green Book,2019
Antonio Banderas,,,,False,Pain and Glory,2020
Leonardo DiCaprio,44.0,Blanca,Reino Unido,False,Once upon a Time...in Hollywood,2020
Adam Driver,,,,False,Marriage Story,2020
Joaquin Phoenix,44.0,Blanca,,True,Joker,2020
Jonathan Pryce,,,,False,The Two Popes,2020
Riz Ahmed,,,,False,Sound of Metal,2021
Chadwick Boseman,,,,False,Ma Rainey's Black Bottom,2021
Anthony Hopkins,45.0,Blanca,Estados Unidos,True,The Father,2021
Anthony Hopkins,62.0,Blanca,Estados Unidos,True,The Father,2021
Gary Oldman,33.0,Blanca,Irlanda,False,Mank,2021
Steven Yeun,,,,False,Minari,2021
Javier Bardem,,,,False,Being the Ricardos,2022
Benedict Cumberbatch,,,,False,The Power of the Dog,2022
Andrew Garfield,,,,False,"tick, tick...BOOM!",2022
Will Smith,45.0,Afroamericano,Estados Unidos,True,King Richard,2022
Denzel Washington,30.0,Blanca,Estados Unidos,False,The Tragedy of Macbeth,2022
Austin Butler,,,,False,Elvis,2023
Colin Farrell,46.0,Blanca,Irlanda,False,The Banshees of Inisherin,2023
Brendan Fraser,41.0,Blanca,Estados Unidos,True,The Whale,2023
Paul Mescal,,,,False,Aftersun,2023
Bill Nighy,,,,False,Living,2023
Bradley Cooper,,,,False,Maestro,2024
Colman Domingo,,,,False,Rustin,2024
Paul Giamatti,,,,False,The Holdovers,2024
Cillian Murphy,37.0,Blanca,Irlanda,True,Oppenheimer,2024
Jeffrey Wright,,,,False,American Fiction,2024
