name,edad,raza,nacionalidad,winner,film,year_ceremony
Gregory Peck,46.0,Blanca,Estados Unidos,False,The Yearling,1947
James Stewart,32.0,Blanca,Estados Unidos,False,It's a Wonderful Life,1947
Ronald Colman,52.0,Blanca,Estados Unidos,True,A Double Life,1948
John Garfield,,,,False,Body and Soul,1948
Gregory Peck,46.0,Blanca,Estados Unidos,False,Gentleman's Agreement,1948
William Powell,,,,False,Life with Father,1948
Michael Redgrave,,,,False,Mourning Becomes Electra,1948
Lew Ayres,,,,False,Johnny Belinda,1949
Montgomery Clift,,,,False,The Search,1949
Dan Dailey,,,,False,When My Baby Smiles at Me,1949
Laurence Olivier,41.0,Hispano,Puerto Rico,True,Hamlet,1949
Clifton Webb,,,,False,Sitting Pretty,1949
Broderick Crawford,44.0,Blanca,Estados Unidos,True,All the King's Men,1950
Kirk Douglas,,,,False,Champion,1950
Gregory Peck,46.0,Blanca,Estados Unidos,False,Twelve O'Clock High,1950
Richard Todd,,,,False,The Hasty Heart,1950
John Wayne,62.0,Blanca,Estados Unidos,False,Sands of Iwo Jima,1950
Louis Calhern,,,,False,The Magnificent Yankee,1951
José Ferrer,41.0,Blanca,Estados Unidos,True,Cyrano de Bergerac,1951
William Holden,35.0,Blanca,Estados Unidos,False,Sunset Blvd.,1951
James Stewart,32.0,Blanca,Estados Unidos,False,Harvey,1951
Spencer Tracy,36.0,Blanca,Estados Unidos,False,Father of the Bride,1951
Spencer Tracy,37.0,Blanca,Estados Unidos,False,Father of the Bride,1951
Humphrey Bogart,54.0,Blanca,Estados Unidos,True,The African Queen,1952
Marlon Brando,30.0,Blanca,Rusia,False,A Streetcar Named Desire,1952
Marlon Brando,48.0,Blanca,Estados Unidos,False,A Streetcar Named Desire,1952
Montgomery Clift,,,,False,A Place in the Sun,1952
Arthur Kennedy,,,,False,Bright Victory,1952
Fredric March,37.0,Blanca,Estados Unidos,False,Death of a Salesman,1952
Fredric March,45.0,Blanca,Reino Unido,False,Death of a Salesman,1952
Marlon Brando,30.0,Blanca,Rusia,False,Viva Zapata!,1953
Marlon Brando,48.0,Blanca,Estados Unidos,False,Viva Zapata!,1953
Gary Cooper,41.0,Blanca,Estados Unidos,True,High Noon,1953
Gary Cooper,53.0,Blanca,Estados Unidos,True,High Noon,1953
Kirk Douglas,,,,False,The Bad and the Beautiful,1953
José Ferrer,41.0,Blanca,Estados Unidos,False,Moulin Rouge,1953
Alec Guinness,53.0,Blanca,Estados Unidos,False,The Lavender Hill Mob,1953
Marlon Brando,30.0,Blanca,Rusia,False,Julius Caesar,1954
Marlon Brando,48.0,Blanca,Estados Unidos,False,Julius Caesar,1954
Richard Burton,,,,False,The Robe,1954
Montgomery Clift,,,,False,From Here to Eternity,1954
William Holden,35.0,Blanca,Estados Unidos,True,Stalag 17,1954
Burt Lancaster,46.0,Blanca,Estados Unidos,False,From Here to Eternity,1954
Humphrey Bogart,54.0,Blanca,Estados Unidos,False,The Caine Mutiny,1955
Marlon Brando,30.0,Blanca,Rusia,True,On the Waterfront,1955
Marlon Brando,48.0,Blanca,Estados Unidos,True,On the Waterfront,1955
Bing Crosby,41.0,Blanca,Reino Unido,False,The Country Girl,1955
James Mason,,,,False,A Star Is Born,1955
Dan O'Herlihy,,,,False,Adventures of Robinson Crusoe,1955
Ernest Borgnine,42.0,Blanca,Reino Unido,True,Marty,1956
James Cagney,42.0,Blanca,Hungría,False,Love Me or Leave Me,1956
James Dean,,,,False,East of Eden,1956
Frank Sinatra,,,,False,The Man with the Golden Arm,1956
Spencer Tracy,36.0,Blanca,Estados Unidos,False,Bad Day at Black Rock,1956
Spencer Tracy,37.0,Blanca,Estados Unidos,False,Bad Day at Black Rock,1956
Yul Brynner,39.0,Blanca,Reino Unido,True,The King and I,1957
James Dean,,,,False,Giant,1957
Kirk Douglas,,,,False,Lust for Life,1957
Rock Hudson,,,,False,Giant,1957
Sir Laurence Olivier,,,,False,Richard III,1957
Marlon Brando,30.0,Blanca,Rusia,False,Sayonara,1958
